tconst	averageRating	numVotes
tt0000001	5.7	2033
tt0000002	5.7	272
tt0000003	6.5	1976
tt0000004	5.4	178
tt0000005	6.2	2733
tt0000006	5.0	183
tt0000007	5.4	848
tt0000008	5.4	2176
tt0000009	5.3	208
tt0000010	6.8	7481
